,kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_penduduk_miskin,persentase_penduduk_miskin,angka_garis_kemiskinan,indeks_keparahan_kemiskinan,pengeluaran_perkapita,tingkat_pengangguran_terbuka,apk_perguruan_tinggi,apk_sma,apk_smp,apk_sd
0,3201,KABUPATEN BOGOR,2018,415.0,7.14,359787,0.26,10323.0,9.83,26.63,62.76,84.12,107.91
1,3202,KABUPATEN SUKABUMI,2018,166.3,6.76,302213,0.19,8618.0,7.84,10.4,60.98,92.15,110.02
2,3203,KABUPATEN CIANJUR,2018,221.6,9.81,340882,0.27,7874.0,10.23,6.44,58.66,93.65,106.09
3,3204,KABUPATEN BANDUNG,2018,246.1,6.65,334929,0.2,10203.0,5.07,19.56,66.16,93.23,105.33
4,3205,KABUPATEN GARUT,2018,241.3,9.27,282683,0.37,7597.0,7.12,10.02,71.8,86.01,106.15
5,3206,KABUPATEN TASIKMALAYA,2018,172.4,9.85,306759,0.23,7761.0,6.92,15.81,65.23,93.69,103.62
6,3207,KABUPATEN CIAMIS,2018,85.7,7.22,357382,0.26,9190.0,4.64,17.93,57.62,101.28,104.45
7,3208,KABUPATEN KUNINGAN,2018,131.2,12.22,332483,0.4,9297.0,9.1,15.38,79.12,88.74,99.65
8,3209,KABUPATEN CIREBON,2018,232.4,10.7,370747,0.55,10212.0,10.64,13.91,84.34,88.04,104.53
9,3210,KABUPATEN MAJALENGKA,2018,129.3,10.79,440776,0.51,9416.0,5.0,10.77,75.42,91.02,105.01
10,3211,KABUPATEN SUMEDANG,2018,112.1,9.76,334743,0.47,10153.0,7.54,23.9,46.3,114.49,104.34
11,3212,KABUPATEN INDRAMAYU,2018,204.2,11.89,447378,0.6,9633.0,8.46,9.03,72.59,86.72,109.28
12,3213,KABUPATEN SUBANG,2018,136.6,8.67,331557,0.51,10715.0,8.71,8.6,67.55,96.14,104.69
13,3214,KABUPATEN PURWAKARTA,2018,75.9,7.99,352061,0.16,11372.0,9.94,10.7,72.5,93.61,110.45
14,3215,KABUPATEN KARAWANG,2018,188.0,8.06,433972,0.3,11277.0,9.12,14.79,76.41,86.32,107.66
15,3216,KABUPATEN BEKASI,2018,157.2,4.37,463507,0.15,11155.0,9.74,23.39,88.8,99.53,105.12
16,3217,KABUPATEN BANDUNG BARAT,2018,169.0,10.06,329415,0.35,8329.0,8.55,13.94,62.42,93.88,103.94
17,3218,KABUPATEN PANGANDARAN,2018,32.2,8.12,360960,0.3,8968.0,3.59,6.53,91.24,95.84,99.55
18,3271,KOTA BOGOR,2018,64.9,5.93,480749,0.17,11348.0,9.74,31.31,73.49,87.32,103.19
19,3272,KOTA SUKABUMI,2018,23.2,7.12,497995,0.26,10609.0,8.57,28.91,81.78,89.46,108.62
20,3273,KOTA BANDUNG,2018,89.4,3.57,448902,0.11,16630.0,8.05,42.55,93.33,86.68,106.89
21,3274,KOTA CIREBON,2018,28.0,8.88,426738,0.19,11397.0,9.07,15.84,74.78,89.46,110.47
22,3275,KOTA BEKASI,2018,119.8,4.11,582723,0.18,15755.0,9.14,29.82,115.68,95.72,108.85
23,3276,KOTA DEPOK,2018,49.4,2.14,615255,0.06,15262.0,6.66,36.61,103.06,83.76,109.43
24,3277,KOTA CIMAHI,2018,29.9,4.94,462969,0.23,11921.0,8.0,25.49,87.08,88.79,98.37
25,3278,KOTA TASIKMALAYA,2018,84.2,12.71,447008,0.31,9855.0,6.89,19.63,92.42,92.21,99.59
26,3279,KOTA BANJAR,2018,10.4,5.7,324958,0.19,10329.0,5.95,17.63,86.9,87.77,105.57
27,3201,KABUPATEN BOGOR,2019,395.03,6.66,373799,0.15,10683.0,9.11,25.02,62.39,86.49,106.01
28,3202,KABUPATEN SUKABUMI,2019,153.3,6.22,309676,0.11,8973.0,8.05,10.06,69.16,87.89,107.24
29,3203,KABUPATEN CIANJUR,2019,207.07,9.15,350760,0.11,8290.0,9.81,5.99,61.74,94.11,103.65
30,3204,KABUPATEN BANDUNG,2019,223.21,5.94,345177,0.28,10502.0,5.51,20.27,63.74,89.99,105.14
31,3205,KABUPATEN GARUT,2019,235.19,8.98,301202,0.16,8099.0,7.35,9.70,68.58,90.42,105.77
32,3206,KABUPATEN TASIKMALAYA,2019,159.93,9.12,311848,0.12,8092.0,6.31,15.71,70.82,97.65,104.44
33,3207,KABUPATEN CIAMIS,2019,79.41,6.65,363750,0.14,9557.0,5.16,16.94,120.80,101.76,104.44
34,3208,KABUPATEN KUNINGAN,2019,123.16,11.41,340775,0.18,9673.0,9.68,16.76,77.40,96.43,100.35
35,3209,KABUPATEN CIREBON,2019,217.64,9.94,381372,0.26,10670.0,10.35,14.71,83.20,90.24,106.61
36,3210,KABUPATEN MAJALENGKA,2019,121.06,10.06,445184,0.28,9822.0,4.37,12.44,75.25,92.41,106.14
37,3211,KABUPATEN SUMEDANG,2019,104.18,9.05,342073,0.21,10406.0,7.7,24.25,51.19,109.28,107.80
38,3212,KABUPATEN INDRAMAYU,2019,191.86,11.11,458240,0.4,10090.0,8.35,13.24,67.43,85.90,106.69
39,3213,KABUPATEN SUBANG,2019,129.18,8.12,339607,0.34,11012.0,8.68,6.99,70.69,92.46,103.95
40,3214,KABUPATEN PURWAKARTA,2019,71.86,7.48,367273,0.28,11819.0,9.73,12.04,83.25,84.76,106.70
41,3215,KABUPATEN KARAWANG,2019,173.66,7.39,440347,0.24,11856.0,9.68,12.33,81.57,87.86,105.91
42,3216,KABUPATEN BEKASI,2019,149.43,4.01,481732,0.15,11610.0,9.0,23.45,91.19,91.60,107.66
43,3217,KABUPATEN BANDUNG BARAT,2019,159.03,9.38,341307,0.33,8684.0,8.24,12.17,65.88,90.66,104.22
44,3218,KABUPATEN PANGANDARAN,2019,30.73,7.71,367748,0.16,9423.0,4.52,6.73,85.83,94.64,104.53
45,3271,KOTA BOGOR,2019,63.97,5.77,513343,0.18,11825.0,9.16,33.70,80.94,85.53,103.40
46,3272,KOTA SUKABUMI,2019,21.87,6.67,520742,0.32,11204.0,8.49,28.85,87.08,96.78,105.76
47,3273,KOTA BANDUNG,2019,84.67,3.38,474448,0.14,17254.0,8.18,41.80,94.90,86.26,102.93
48,3274,KOTA CIREBON,2019,26.8,8.41,444574,0.26,11930.0,9.04,21.29,87.40,84.81,107.79
49,3275,KOTA BEKASI,2019,113.65,3.81,617718,0.1,16157.0,8.3,32.65,107.42,97.17,109.06
50,3276,KOTA DEPOK,2019,49.35,2.07,644860,0.04,15696.0,6.12,37.23,105.89,84.36,103.17
51,3277,KOTA CIMAHI,2019,26.91,4.39,484804,0.14,12448.0,8.09,28.77,103.84,89.54,105.83
52,3278,KOTA TASIKMALAYA,2019,76.98,11.6,457899,0.53,10414.0,6.78,19.64,79.46,96.18,100.48
53,3279,KOTA BANJAR,2019,10.07,5.5,334590,0.1,10705.0,6.16,17.07,88.72,89.31,104.17
54,3201,KABUPATEN BOGOR,2020,465.67,7.69,402877,0.11,10317.0,14.29,31.36,62.42,84.97,106.28
55,3202,KABUPATEN SUKABUMI,2020,175.1,7.09,328284,0.12,8823.0,9.6,10.3,71.4,92.04,105.87
56,3203,KABUPATEN CIANJUR,2020,234.47,10.36,371699,0.27,7980.0,11.05,7.26,68.07,97.78,102.42
57,3204,KABUPATEN BANDUNG,2020,263.6,6.91,367403,0.17,10201.0,8.58,19.78,66.12,91.05,103.68
58,3205,KABUPATEN GARUT,2020,262.78,9.98,310437,0.15,7876.0,8.95,11.32,76.87,92.02,104.1
59,3206,KABUPATEN TASIKMALAYA,2020,181.52,10.34,323880,0.11,7852.0,7.12,16.75,69.76,97.56,102.93
60,3207,KABUPATEN CIAMIS,2020,91.39,7.62,378108,0.16,9288.0,5.66,17.73,101.6,109.17,102.29
61,3208,KABUPATEN KUNINGAN,2020,139.2,12.82,352358,0.62,9459.0,11.22,16.82,79.79,96.43,97.32
62,3209,KABUPATEN CIREBON,2020,247.94,11.24,393452,0.24,10342.0,11.52,17.27,86.55,87.69,106.72
63,3210,KABUPATEN MAJALENGKA,2020,138.21,11.43,453201,0.25,9521.0,5.84,12.01,81.99,89.14,104.18
64,3211,KABUPATEN SUMEDANG,2020,118.38,10.26,353092,0.42,10217.0,9.89,24.12,38.53,120.56,105.71
65,3212,KABUPATEN INDRAMAYU,2020,220.31,12.7,474807,0.56,9859.0,9.21,10.27,67.06,87.64,103.71
66,3213,KABUPATEN SUBANG,2020,149.81,9.31,351885,0.25,10790.0,9.48,6.76,74.82,91.6,100.88
67,3214,KABUPATEN PURWAKARTA,2020,80.17,8.27,378287,0.2,11614.0,11.07,12.01,88.38,84.05,106.55
68,3215,KABUPATEN KARAWANG,2020,195.41,8.26,466152,0.25,11315.0,11.52,14.36,86.64,82.39,104.84
69,3216,KABUPATEN BEKASI,2020,186.3,4.82,518667,0.18,11241.0,11.54,28.27,101.08,95.33,104.21
70,3217,KABUPATEN BANDUNG BARAT,2020,179.46,10.49,362212,0.25,8455.0,12.25,15.01,67.7,91.74,102.71
71,3218,KABUPATEN PANGANDARAN,2020,36.05,8.99,382264,0.28,9084.0,5.08,5.99,85.35,94.41,101.52
72,3271,KOTA BOGOR,2020,75.04,6.68,547399,0.26,11564.0,12.68,37.26,70.55,84.82,100.97
